"y1999";"y2009";"y2018";"Freq";"area_km2";"Type";"from_1999";"from_2009";"to_2018"
"8";"1";"1";8;0,0648;"Dynamic";"Urban";"Water_Bare";"Water_Bare"
"1";"6";"3";8;0,0648;"Dynamic";"Water_Bare";"Grass";"Plant"
"2";"1";"6";8;0,0648;"Dynamic";"Native";"Water_Bare";"Grass"
"5";"1";"6";8;0,0648;"Dynamic";"Crop";"Water_Bare";"Grass"
"2";"1";"8";8;0,0648;"Dynamic";"Native";"Water_Bare";"Urban"
"6";"4";"8";8;0,0648;"Dynamic";"Grass";"Shrub";"Urban"
"8";"6";"8";8;0,0648;"Dynamic";"Urban";"Grass";"Urban"
"3";"1";"6";6;0,0486;"Dynamic";"Plant";"Water_Bare";"Grass"
"8";"3";"2";4;0,0324;"Dynamic";"Urban";"Plant";"Native"
"2";"8";"2";4;0,0324;"Dynamic";"Native";"Urban";"Native"
"4";"8";"2";4;0,0324;"Dynamic";"Shrub";"Urban";"Native"
"6";"1";"3";4;0,0324;"Dynamic";"Grass";"Water_Bare";"Plant"
"8";"2";"3";4;0,0324;"Dynamic";"Urban";"Native";"Plant"
"8";"4";"3";4;0,0324;"Dynamic";"Urban";"Shrub";"Plant"
"1";"8";"3";4;0,0324;"Dynamic";"Water_Bare";"Urban";"Plant"
"2";"8";"3";4;0,0324;"Dynamic";"Native";"Urban";"Plant"
"8";"1";"4";4;0,0324;"Dynamic";"Urban";"Water_Bare";"Shrub"
"8";"5";"4";4;0,0324;"Dynamic";"Urban";"Crop";"Shrub"
"8";"1";"5";4;0,0324;"Dynamic";"Urban";"Water_Bare";"Crop"
"6";"8";"5";4;0,0324;"Dynamic";"Grass";"Urban";"Crop"
"4";"1";"6";4;0,0324;"Dynamic";"Shrub";"Water_Bare";"Grass"
"1";"3";"6";4;0,0324;"Dynamic";"Water_Bare";"Plant";"Grass"
"6";"8";"6";4;0,0324;"Dynamic";"Grass";"Urban";"Grass"
"6";"3";"8";4;0,0324;"Dynamic";"Grass";"Plant";"Urban"
"4";"6";"8";4;0,0324;"Dynamic";"Shrub";"Grass";"Urban"
"6";"8";"4";2;0,0162;"Dynamic";"Grass";"Urban";"Shrub"
"8";"3";"5";2;0,0162;"Dynamic";"Urban";"Plant";"Crop"
